english_name,arabic_name,latitude,longitude,found_name,address
برقين,Barqin,30.855625,31.529481,محطة قطار برقين,"VG4H+7Q5, Kafr Saqr El-Senbellawein, Barqin, El Senbellawein, Dakahlia Governorate 7546302, Egypt"
هيكل باشا,Hikal Basha,30.8407132,31.5688048,محطه هيكل باشا,"RHR9+7GM، كفر غنام، السنبلاوين،, El Senbellawein, Dakahlia Governorate, Egypt"
ابو الشقوق,Abo Shuquq,26.1165817,32.0955521,محطه قطار مركز ابوتشت,"438W+J6M, Madinet Abu Tesht, Abu Tesht, Qena Governorate 1584113, Egypt"
بدوي,Badawy,30.8125992,31.610316,محطة قطار بدوى,"RJ76+24P، أبو الشقوق، Kafr Saqr, Al-Sharqia Governorate 7241594, Egypt"
كفر صقر,Kafr Saqr,30.7927833,31.62732399999999,Kafr Sakhr,"Amr Ibn El-Aas St, Monshaat Shalaby, Kafr Saqr, Al-Sharqia Governorate 7241334, Egypt"
البوها,Bouha,30.4558513,31.1806955,Benha railway station,"Qism Banha, Banha, Al-Qalyubia Governorate 6460301, Egypt"
نزلة الخيال,Nazlet Khayal,30.2207124,31.3605536,Al Khanka Train Station,"69C6+76X, El-Imam El-Ghazaly, Madinet Al Khankah, Al Khankah, Al-Qalyubia Governorate 6350506, Egypt"
ابو كبير,Abo Kibir,30.7270372,31.6684678,محطة سكك حديد أبوكبير,"PMG9+R98، Abu Kebeer, أبو كبير، مركز أبو كبير، الشرقية،, Abu Kabir, Egypt"
ابو ياسين,Abo Yassin,24.0998701,32.902257,Aswan Railway Station,"كورنيش النيل، أسوان مدينة اسوان ثاني اجمل مدن العالم ذي طابع فريد، 81511, Egypt"
شرشيمة,Shirshimah,30.6929658,31.6200431,محطة قطار شرشيمة,"MJVC+52F، Unnamed Road, Sharsheimah, Hihya, Al-Sharqia Governorate 7218720, Egypt"
هيها,Hihya,30.6708201,31.5902907,Hehia,"Hehya, Hihya, Al-Sharqia Governorate 7213270, Egypt"
العداوية,Adawyh,24.4050004,32.9273139,Daraw Railway Station,"El-Abaseya, Draw, Aswan Governorate 81631, Egypt"
كفر المسلمية,Kafr Msalamya,31.1095836,30.9393033,Kafr El-Sheikh Train Station,"محطه قطار كفرالشيخ، كفر الشيخ - طنطا، قسم كفر الشيخ،, Kafr El-Sheikh Governorate, Egypt"
هرية رزنة,Harayah Raznah,30.6061445,31.5330771,محطة هرية رزنة,"JG4M+C7J، محطة سكة حديد الزقازيق، ميدان عرابى، الزقازيق، الشرقية،, Zagazig, Egypt"
العصلوجي,Asluji,30.5549424,31.5210137,محطة قطار العصلوجي,"Al Aslougi, Zagazig, Al-Sharqia Governorate 7141765, Egypt"
بردين,Bardein,30.5043999,31.5393167,محطة قطار بردين,"GG3Q+QP4, Belbeis - Zagazig Rd, Bardein, Zagazig, Al-Sharqia Governorate 7146112, Egypt"
اولاد سيف,Awlad Seif,30.4671344,31.5500398,محطة قطار أولاد سيف,"23 شارع الشهيد احمد العوضى،, Bilbeis, Al-Sharqia Governorate, Egypt"
بلبيس,Belbes,30.3952514,31.4869162,Berammarh Train Station,"9FWP+4Q3, Tarik Anashas, Bilbeis, Al-Sharqia Governorate 7032701, Egypt"
تل روزن,Tall Rozan,30.3965632,31.499885,Tall Rozan,"Tall Rozan, Bilbeis, Al-Sharqia Governorate, Egypt"
بير عمارة,Bir Imarah,30.3952514,31.4869162,Berammarh Train Station,"9FWP+4Q3, Tarik Anashas, Bilbeis, Al-Sharqia Governorate 7032701, Egypt"
انشاص,Inshas,30.3795719,31.4545189,Anshass Train Station,"9FH3+RRC, Tarik Anshas, Enshas AR Raml, Bilbeis, Al-Sharqia Governorate 7040210, Egypt"
سلمنت,Salamant,30.3637145,31.4207458,محطة قطار سلمنت,"9C7C+G7Q, Selmant, Bilbeis, Al-Sharqia Governorate 7030201, Egypt"
مشتول,Mashtul,30.3483628,31.38884639999999,محطة قطار مشتول السوق,"89XQ+8GX, Mashtoul as Souq, Mashtol Al Souq, Al-Sharqia Governorate 7022044, Egypt"
منشأة الكرام,Monshaat Kiram,30.3315952,31.3540265,محطة منشأة الكرام,"89J3+JJJ, Mashtool Rd, Monshaat Al Keram, Shibin el-Qanater, Al-Qalyubia Governorate 6337501, Egypt"
شبين القناطر,Shibin Qanatir,30.3129365,31.3269199,محطة قطار منية شبين القناطر,"887G+5QF, Menyet Shebeen, Shibin el-Qanater, Al-Qalyubia Governorate 6335272, Egypt"
كفر شبين,Kafr Shebeen,30.29688179999999,31.3003291,محطة كفر شبين,"78W2+Q44، شارع بطن الجسر، كفر شبين، شبين القناطر،, Shibin el-Qanater, Al-Qalyubia Governorate, Egypt"
طحانوب,Tahanub,30.281027,31.2934789,Taha Noub Train Station,"Taha Nob, Shibin el-Qanater, Al-Qalyubia Governorate 6330451, Egypt"
كفر طحا,Kafr Taha,30.281027,31.2934789,Taha Noub Train Station,"Taha Nob, Shibin el-Qanater, Al-Qalyubia Governorate 6330451, Egypt"
الزهوين,Zahawiyin,30.25669509999999,31.2832391,محطة قطار الزهويين,"774M+M7H, Qaluib - Shebean Rd Rd, Nob Taha, Shibin el-Qanater, Al-Qalyubia Governorate 6331254, Egypt"
نوى,Nawa,30.2335047,31.2670818,محطة قطار نوى,"67M8+CR4, Qaluib - Shebean Rd Rd, نوى، Shibin el-Qanater, Al-Qalyubia Governorate 6331136, Egypt"
كفر رمادة,Kafr Ramadah,30.2098153,31.2435568,محطة قطار كفر رمادة,"665V+WCF, Qaluib - Shebean Rd Rd, ناي، Qalyub, Al-Qalyubia Governorate 6314140, Egypt"
الزاوية الحمراء,Zawya Hamraa,30.086625,31.267592,محطة قطار الزاوية الحمراء,"9 النقراشي، الزاوية الحمراء، قسم الزاوية الحمراء، محافظة القاهرة‬،, Egypt"
طلخا,Talkha,31.0540958,31.3772871,Talkha Train Station,"393G+JWM, Talkha City, Talkha, Dakahlia Governorate 7625388, Egypt"
سمنود,Samannoud,30.96428749999999,31.2462624,محطه قطار سمنود,"X67W+PG6، طريق سمنود - أجا - ميت غمر, Samannoud City, Samannoud, Dakahlia Governorate 6788007, Egypt"
المحلة الكبرى,Mahalla Kubra,30.9689908,31.1687061,محطة قطار المحلة الكبرى,"X599+HFW, Al Mahalah Al Kubra (Part 2), El Mahalla El Kubra 2, Gharbia Governorate 6743104, Egypt"
محلة روح,Mahallat Rouh,30.8742788,31.0850363,Mahlet Rouh,"Mahalat Rouh, Tanta, Gharbia Governorate 6648710, Egypt"
جامعة الأزهر,Azhar University,30.0580481,31.31259399999999,Al-Azhar University,"Al Mokhaym Al Daem, Gameat Al Azhar, مدينة نصر،، Cairo Governorate 4434103, Egypt"
ميت عساس,Mit Assas,31.0062491,31.2892932,Train station Mit Asas,"Al Mahallah Al Kubra Rd - Mansoura Rd, Mit Asas, Samannoud, Gharbia Governorate 6787330, Egypt"
شبلنجة,Shiblanjah,30.4750371,31.2630387,محطة قطار شبلنجة,"F7G7+267، طريق بنها - الزقازيق، شبلنجة، بنها، القليوبية،, Banha, Egypt"
العزيزية,Aziziyyah,30.4814047,31.2904676,Al-Aziziyah Train Station,"F7JR+H58، طريق بنها - الزقازيق، العزيزية، مركز منيا القمح، الشرقية،, Markaz Minyā al Qamḩ, Egypt"
شربين,Shirbin,31.1915938,31.5267491,Sherbin Train Station,"5GRG+JMQ, 23-Jul, Sherbeen City, Shirbin, Dakahlia Governorate 7745311, Egypt"
كفر سعد,Kafr Saad,31.3550618,31.6889916,محطة قطار تفتيش كفر سعد,"تفتيش كفر سعد عزبت السوق تفتيش، تفتيش, Kafr Saad, Damietta Governorate, Egypt"
راس الخليج,Ras Khaleej,31.2459831,31.61641,محطة قطار راس الخليج,"6JW8+9HV, Kafr at Teraa Al Gadidah, Shirbin, Dakahlia Governorate 7746601, Egypt"
دمياط,Damietta,31.4187479,31.8080119,Damietta Railway Station,"CR95+F6R, الكوبرى المعدنى, Qism Damietta, Dameitta Second, Damietta Governorate 8050302, Egypt"
راس العش,Ras Esh,31.1370842,32.304324,محطة قطار راس العش,"48P3+RPP, Ismailia - Port Said Rd, Al Ganoub, Port Said Governorate 8524540, Egypt"
كوم حلين,Kom Halin,30.4870492,31.31452569999999,Kom Halin Train Station,"F8P7+RR, Kom Halin, Markaz Minyā al Qamḩ, Al-Sharqia Governorate 7002073, Egypt"
محجر ابو حماد,Mahjar Abo Hammad,30.5362499,31.6779477,محطة قطار أبو حماد,"GMPH+G54، أبو حماد، كفر العزازي، مركز أبو حماد،، القطاوية، مركز أبو حماد، الشرقية،, Abu Hammad, Egypt"
سرابيوم,Serapeum,29.8760704,31.2102537,Serapeum of Saqqara,"V6G6+C4C, Badrshein, Giza Governorate 3352001, Egypt"
ابو سلطان,Abo Sultan,30.4122362,32.312342,محطة قطار أبو سلطان,"C866+VWW, أبو سلطان،،, Fayid, Ismailia Governorate, Egypt"
فايد,Fayed,30.3315219,32.2937707,محطة قطار,"87JV+JG2, Fayid, Ismailia Governorate 8343321, Egypt"
جنيفة,Jenefh,30.1167553,32.5631007,محطة قطار جنيفة,"4H87+P65, Al Sweis - Ismaelia Al Zerai Rd, Fifth Shyakha, Al Ganayen, Suez Governorate 8176742, Egypt"
الشيخ زايد,Sheikh Zayed,30.6022548,32.2977716,El-Shikh Zayed,"El Sheikh Zayed, Ismailia 3, Ismailia Governorate 8364204, Egypt"
الزنكلون,AZ Zanklun,30.5597688,31.4433617,محطة قطار الزنكلون,"HC5V+V9R, AZ Zankaloun, Zagazig, Al-Sharqia Governorate 7102107, Egypt"
الغابة,Ghaba,26.3374136,31.8888655,Gerga Station,"8VPQ+XG9, Gerga, Sohag Governorate 1632201, Egypt"
خلف الله,Khalafallah,30.1761076,31.3481858,Qalag train station,"Al Qalg, Al Khankah, Al-Qalyubia Governorate 6345306, Egypt"
الفدادنة,Fadadnah,30.7443262,31.7497647,محطة الفدادنة,"PPVX+PWR، الزقازيق - فاقوس، العارين، مركز فاقوس، الشرقية،، PPVX+FWW، العارين، مركز فاقوس،, Al-Sharqia Governorate 7315305،, Egypt"
البيروم,Bayrum,30.7453838,31.7692728,محطة قطار البيروم,"PQW9+5P2، الزقازيق، البيروم, Faqous, Al-Sharqia Governorate 7315560, Egypt"
فاقوس,Faqus,30.7275545,31.79431829999999,محطة قطار فاقوس,"محطة قطار فاقوس، مدينة فاقوس ، مركز فاقوس ، الشرقية ، مصر، البيروم، مركز فاقوس، الشرقية 44641،، 44641, Egypt"
جهينة,Geheinah,30.7242504,31.8145867,محطة قطار جهينة,"محطة قطار جهينه، جهينة البحرية - مركز فاقوس - الشرقية - مصر، الديدمون، مركز فاقوس، الشرقية 44823،، 44823, Egypt"
كفر الحاج عمر,Kafr Haj Omar,30.7332201,31.8451859,محطة قطار كفر الحاج عمر,"كفر الحاج عمر - مركز فاقوس - الشرقية - مصر، السعرانه - المشايخ, Faqous, Al-Sharqia Governorate 44768, Egypt"
اكياد,Akyad,30.7427014,31.8768162,محطة قطار إكياد,"محطة قطار أكياد، أكياد البحرية - مركز فاقوس - الشرقية - مصر، دوامة، مركز فاقوس، الشرقية، 44732, Egypt"
الدراكة,Drakh,31.228861,29.96541,محطة قطار الظاهرية - Ad Dhahereyya Railway Station,"2 Adel Awad Allah, ADH Dhahereyah WA Izbat as Safih, El Raml 1, Alexandria Governorate 5450015, Egypt"
اباظة,Abaza,30.75546799999999,31.9195892,محطه قطار اباظه,"محطة قطار أباظه, Qahbounah, Faqous, Al-Sharqia Governorate 44732, Egypt"
العزازي,Azzazi,30.7621278,31.9419498,محطة قطار العزازى,"QW6R+VQ4, محطة قطار العزازى، العزازى - مركز فاقوس - الشرقية - مصر،, Qahbounah, Faqous, Al-Sharqia Governorate 44734, Egypt"
الكابيشة,Kabaysha,30.7721244,31.9754555,محطة قطار الكبايشة,"كفر الكبايشة، الأخيوة، مركز الحسينية،، QXCG+V82، الأخيوة، مركز فاقوس،, Al-Sharqia Governorate 7316583،, Egypt"
التينة,Tenh,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
الصالحية,Salheya,30.778848,31.9981494,Salehia Train Station,"QXHX+G7J, Al Mounagat as Sughra, Faqous, Al-Sharqia Governorate 7317847, Egypt"
السويس,Suez,29.9889369,32.5276841,Suez Train Station,"XGQH+J4M, 23-Jul, Faisal, Suez Governorate 8153010, Egypt"
منية السباع,Menyet Sebaa,28.0968517,30.7540305,Minya Railway Station,"ميدان المحطة، المحطة, Minya, Minya Governorate 2451101, Egypt"
ميت يزيد,Mit Yazid,30.5006354,31.32920799999999,محطة قطار ميت يزيد,"G82H+7M4, Maher Abaza St, Mit Yazid, Markaz Minyā al Qamḩ, Al-Sharqia Governorate 7002106, Egypt"
الجديدة,Jadidah,30.5340917,31.3816202,محطة قطار الجديدة,"G9MJ+JJQ، الزقازيق, El-Gadeeda, Markaz Minyā al Qamḩ, Al-Sharqia Governorate 7003507, Egypt"
القراقرة,Qaraqrah,30.1761076,31.3481858,Qalag train station,"Al Qalg, Al Khankah, Al-Qalyubia Governorate 6345306, Egypt"
الصوة,Sawah,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
بسنديله,Basandilah,31.2006337,31.4369176,محطة قطار بسنديله,"6C2P+7Q3, Gamasa - Sherbein, Basandilah, Belqas, Dakahlia Governorate 7726102, Egypt"
بلقاس,Belkas,31.2089241,31.3556841,Belkas railway station,"6954+H7F, Sour Al Mahata, Belkas City, Belqas, Dakahlia Governorate 7721003, Egypt"
بيلا,Biyala,31.1754344,31.22707539999999,Biyala Train Station,"56CC+XJ8, El-Thawra, Madinet Biyala, Bila, Kafr El-Sheikh Governorate 6963412, Egypt"
ابشان,Ibshan,31.1700173,31.1629588,Ebshan Train Station محطة قطار إبشان,"Kafr El-Shaikh Belkas, Abshan, Bila, Kafr El-Sheikh Governorate 6950578, Egypt"
الكوم الطويل,Kom Taweel,31.1979099,31.0887081,محطة القطار,"شارع المحطة, El-Kom El-Taweel, Bila, Kafr El-Sheikh Governorate 6950122, Egypt"
سيدي غازي,Sidi Ghazy,31.2069375,31.0538125,Sidi Ghazi train station,"Sidi Ghazy, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6876945, Egypt"
المرابعين,Murabian,31.15743,31.0015923,Elmorabeen Train Station,"5242+XJ9, Al Merabein, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6876580, Egypt"
كفر الشيخ,Kafr Sheikh,31.1095836,30.9393033,Kafr El-Sheikh Train Station,"محطه قطار كفرالشيخ، كفر الشيخ - طنطا، قسم كفر الشيخ،, Kafr El-Sheikh Governorate, Egypt"
سخا,Sakha,31.0893461,30.9437666,Sakha Train Station,"shikh, Kafr Abu Tabl, Kafr Al Sheikh First, Kafr El-Sheikh Governorate, Egypt"
محلة موسى,Mahallat Mousa,31.09101219999999,30.8991913,محطة محلة موسي,"3VRX+CM4، Unnamed Road, Mahalah Mousa, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6872320, Egypt"
نشرت,Nashart,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
قلين,Qleen,31.0502455,30.8404791,محطة سكة حديد قلين,"Madinet Qillin, Qallīn, Kafr El-Sheikh Governorate 6842402, Egypt"
سجين,Segin,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
ابشواي,Ebshway,29.3089592,30.8476996,Fayoum Train Station,"El-Khalifa El-Maamoun, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2931004, Egypt"
قطور,Qotur,30.96844,30.9593523,Qutour Train Station,"XX95+9PH, Madinet Qotour, Kotoor, Gharbia Governorate 6724732, Egypt"
الشين,Shin,31.0130595,30.8964495,محطة الشين,"2V7W+6HG, Ash Shin, Kotoor, Gharbia Governorate 6723401, Egypt"
قلين البلد,Qleen B,31.0424146,30.8553624,محطه قلين البلد,"2VR4+X44, Al Deyok, Madinet Qillin, Qallīn, Kafr El-Sheikh Governorate 6842601, Egypt"
كفر سليم,Kafr Selim,30.7375619,30.9754955,Kafr El Sheikh Selim Train Station,"PXQG+25H, Kafr El-Shaikh Selim, Tanta, Gharbia Governorate 6641357, Egypt"
كفر طبلوها,Kafr Tabluha,30.6438753,30.9472883,محطة قطار كفر طبلوها مركز تلا,"JWVW+HW3، كفر طبلوها, Tala, Menofia Governorate 6156010, Egypt"
كفر البتانون,Kafr Batanun,30.6161671,30.9654862,محطة سكة حديد البتانون,"JX88+F59, Al Batanoun WA Hessateha, Shibin el Kom, Menofia Governorate 6124280, Egypt"
طنبدي,Tanbadi,30.5872091,30.9844744,Tanbedi railway station,"HXPM+VQG, Tanbedi, Tanbadi, Shibin el Kom, Menofia Governorate 6124011, Egypt"
كفر السنابسة,Kafr Sanabisah,30.44207909999999,30.9174096,محطة قطار كفر السنابسة Train station,"CWR8+RXM, Madinet Menuf, Menouf, Menofia Governorate 6042555, Egypt"
كمشوش,Kamshush,30.4190574,30.92287159999999,Kamshoush Train Station,"CW9F+J4H, Kamshoush, Menouf, Menofia Governorate 6043001, Egypt"
شما,Shama,30.3875523,30.9315247,محطة قطار شما,"9WQJ+2JC، شما, Ashmoun, Menofia Governorate 6028366, Egypt"
رملة الأنجب,Ramlat Injib,30.3674424,30.9354045,Railway station Ramlet Alonhab,"9W8P+X5C, Al Angab, Ashmoun, Menofia Governorate 6038003, Egypt"
جامع بدر,Badr Mosque,30.1748915,31.7161444,محطة بدر التبادلية القطار الكهربائي الخفيف LRT,"5PG8+395، الظهير الصحراوى لمحافظة القاهرة،, Cairo Governorate 4954540،, Egypt"
محلة سبك,Mahallat Subk,30.2756635,31.0097953,محطة محلة سبك,"72G5+7W7، Unnamed Road, محلة سبك ومنشأة نصر، أشمون، المنوفية،, Ashmoun, Egypt"
كفر صراوة,Kafr Sarawah,30.2417791,31.0900275,محطة قطار كفر صراوة,"63RR+P26، دروة، Ashmoun, Menofia Governorate 6031324, Egypt"
شلقان,Shalaqan,30.1818156,31.1701893,محطة قطار شلقان,"55JC+P3G، التقسيم السياحى, Kafr Selim، القناطر الخيرية،, Al-Qalyubia Governorate 6405330, Egypt"
سنجرج,Sengerg,30.508956,30.9328216,محطة قطار سنجرج.,"GW5M+H4P، Unnamed Road, Teta, Menouf, Menofia Governorate 6046720, Egypt"
منشأة سلطان,Monshaat Sultan,30.5298245,30.9178869,محطة منشأة سلطان,"GWH9+W5J, El-Gaish, Monshaat Sultan, Menouf, Menofia Governorate 6048240, Egypt"
العراقية,Iraqiyyah,26.3374136,31.8888655,Gerga Station,"8VPQ+XG9, Gerga, Sohag Governorate 1632201, Egypt"
عشما,Ashma,24.0998701,32.902257,Aswan Railway Station,"كورنيش النيل، أسوان مدينة اسوان ثاني اجمل مدن العالم ذي طابع فريد، 81511, Egypt"
الشهداء,Shohada,30.0610714,31.2460506,Al-Shohadaa,"Al Gayarah, Al Azbakeya, Cairo Governorate 4320151, Egypt"
دنشواى,Dinshaway,26.123184,32.4618088,محطة سكة حديد مصر بدشنا,"4FF6+7PF، المحطة، مدينة دشنا، دشنا،, Dishna, Qena Governorate, Egypt"
زاوية البقلى,Zawiyat Baqli,30.6246353,30.8077173,محطة قطار زاوية البقلى,"JRF5+V34 عزبه الحطيم, زاويه الناعوره, Zawyet Al Baqli, El Shohada, Menofia Governorate 6114255, Egypt"
بشتامي,Beshtami,30.6416088,30.8057243,محطة بشتامي,"JRR4+J7X, Ezbet Al Heten Zawyet Al Nahoma, Beshtami, El Shohada, Menofia Governorate 6115102, Egypt"
عمروس,Amrus,30.0626726,31.2458461,Ramsis station,"Ramses, Al Fagalah, Al Azbakeya, Cairo Governorate 4321102, Egypt"
كوم مازن,Kom Mazin,24.4768122,32.9472276,Kom Ombo Railway Station,"كوم امبو، كوم أمبو، مركز كوم أمبو، اسوان, Aswan Governorate, Egypt"
طنوب,Tunub,30.6903195,30.8092884,Tunub railway station,"MRR5+4PF، طنوب، Tala, Menofia Governorate 6151210, Egypt"
عزبة الحطيم,Izbat Hutaym,31.228861,29.96541,محطة قطار الظاهرية - Ad Dhahereyya Railway Station,"2 Adel Awad Allah, ADH Dhahereyah WA Izbat as Safih, El Raml 1, Alexandria Governorate 5450015, Egypt"
مشلة,Mishlah,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
كفر مشلة	,Kafr Mishlah,31.1095836,30.9393033,Kafr El-Sheikh Train Station,"محطه قطار كفرالشيخ، كفر الشيخ - طنطا، قسم كفر الشيخ،, Kafr El-Sheikh Governorate, Egypt"
قصر نصر الدين	,Qasr Nasr Din,30.7882095,30.8215256,محطة قصر نصر الدين,"QRQC+7JJ, Qasr Nasr Ad Din, Kafr El Zayat, Gharbia Governorate 6611420, Egypt"
الدلجمون,Daljamun,30.8088676,30.8335655,محطة قطار الدلجمون,"RR5M+GCW، قصر، الدلجمون -قصر نصر الدين، كفر الزيات، الغربية،, Kafr El Zayat, Egypt"
ورورة,Warwarah,30.49155859999999,31.1761978,محطة قطار ورورة,"F5RG+JFG, Warwarah, Banha, Al-Qalyubia Governorate 6456341, Egypt"
دملو,Damallu,31.0453964,31.3882888,Mansoura Train Station,"Gameat Al Dewal Al Arabiya St, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7660015, Egypt"
ميت الحوفيين,Mit Hufiyyin,30.52294759999999,31.1945819,محطة قطار ميت الحوفيين,"G5FV+5RG, Demlo, Banha, Al-Qalyubia Governorate 6457252, Egypt"
ميت بره,Mit Barh,30.5457763,31.2089972,محطة قطار ميت بره,"G6W5+8H9، ميت بره وكفر الشهيد، مركز قويسنا،, Qewaisna, Menofia Governorate, Egypt"
بقسا,Baqsa,31.2089241,31.3556841,Belkas railway station,"6954+H7F, Sour Al Mahata, Belkas City, Belqas, Dakahlia Governorate 7721003, Egypt"
شبرا بخوم,Shobra Bukhum,30.5714586,31.23112129999999,محطة قطار شبرا بخوم,"H6CJ+HCQ, Mit Al Ebsi, Qewaisna, Menofia Governorate 6145461, Egypt"
تفهنا العزب,Tafahna Azab,30.5981235,31.239397,Tafahna Al azab Train Station,"H6XQ+6QR, Tefehna Al Izab, Zefta, Gharbia Governorate 6671201, Egypt"
ميت الحارون,Mit Harun,30.620732,31.242639,Mit Alharon Train Station,"J6CV+73R, Kafr as Sarem Al Qebli, Zefta, Gharbia Governorate 6671360, Egypt"
سعد زغلول,Saad Zaghloul,30.0370333,31.238362,Saad Zaghloul,"Mansour, Khairat, El-Sayeda Zainab، Cairo Governorate 4262131, Egypt"
اسماعيل صدقي,Ismail Sedky,30.6704785,31.2501977,Ismail Pasha Sedky Train Station-El Ghurayb,"El-Gharib, Zefta, Gharbia Governorate 6674070, Egypt"
منصور باشا,Mansour Basha,30.6955185,31.2476311,محطة منصور باشا,"M6WX+632، ميت غمر - ميت بره, Send Bast, Zefta, Gharbia Governorate 6674173, Egypt"
زفتى,Zefta,30.7228574,31.2441256,محطه قطار زفتي,"P6FV+5J5، مدينة زفتى، زفتى،, Zefta, Gharbia Governorate 6663049, Egypt"
ميت غمر,Mit Ghamer,30.7188795,31.2605518,محطة قطار ميت غمر,"شارع المحطة،, Madinet Mit Ghamr (Include Daqados)، ، ميت غمر،، الدقهلية،, Egypt"
سيدي حنيش,Sidi Henash,31.1635555,27.6285705,محطة قطار سيدى حنيش,"5J7H+89H, Mersa Matruh, Marsa Matrouh Governorate 5058506, Egypt"
جنينة القباري,Genenet Qbaary,31.1713194,29.885026,محطة جنينة القبارى,"5VCP+G2, Al Qabari, Port al-Basal, Alexandria Governorate 5334021, Egypt"
المتراس,Metras,31.1597967,29.8734849,El Metras Station,"Al Metras, Port al-Basal, Alexandria Governorate 5331101, Egypt"
مواصلة المكس,Mowaslet Max,31.151904,29.8507393,محطة قطار المكس,"5V22+Q75، المكس، قسم الدخيلة،, Al Max, Al Meks, Dekhela, Alexandria Governorate 5311294, Egypt"
سيدي مرغب,Sidi Mergheb,31.0967615,29.8577593,محطة قطار سيدى مرغب,"كم 19 طريق السكة الحديد تفرع من, Cairo - Alexandria Desert Rd, Margham, Amreya 1, Alexandria Governorate 5255377, Egypt"
التفرع,Tafaro,31.0614827,29.848217,محطة قطار التفرع,"Qetaa an Nahdah, Amreya 1, Alexandria Governorate 5255382, Egypt"
عبد القادر,Abd Qader,31.0392523,29.8285145,محطه قطار عبد القادر,"2RQH+PC2, Zawya Abd El-Qader, Amreya 1, Alexandria Governorate 5254801, Egypt"
ايكنجي مريوط,Ekeingy Maryout,30.9981687,29.7643754,محطه سكه حديد كينج مريوط,"XQX7+7Q6، الاسكندرية, كينج مريوط،, Ekeingy Maryout (Sharq WA Gharb)، ، ثانى العامرية،, Egypt"
مريوط,Maryout,31.0183325,29.7981673,Amiriya Train Station,"2Q9X+87M, Al Amrereyah Gharb, Amreya 1, Alexandria Governorate 5254501, Egypt"
بهيج,Baheeg,30.9216875,29.5956475,محطة قطار بهيج,"Bahig, Borg El Arab, Alexandria Governorate 5216211, Egypt"
الغربانيات,Gharbaniat,31.2188782,29.9425517,Sidi Gaber Railway Station,"6W9V+H23، سيدي جابر،, Sidi Gaber, Alexandria Governorate, Egypt"
الجباسات,Gabbasat,30.7871937,29.1339368,Train Station Aljbact,"Q4PM+VHF، Unnamed Road, قسم, Marina El Alamein, Marsa Matrouh Governorate 5074010, Egypt"
تل العيسى,Tal Issa,30.8818124,28.8431316,محطة قطار تل عيسى,"VRJV+P7, Al Alameen City, El Alamein, Marsa Matrouh Governorate 5060301, Egypt"
غزال,Ghazal,30.9858912,28.5996152,محطه قطار غزاله,"XHPX+9R, Ghazal, Al Dabaa, Marsa Matrouh Governorate 5004650, Egypt"
