name_ar,name_en
القاهرة,Cairo
سيدي جابر,Sidi Gaber
الاسكندرية,Alexandria
طنطا,Tanta
مرسى مطروح,Marsa Matruh
سملا,Samla
راس الحكمة,Ras Hekmah
فوكة,Fokah
جلال,Galal
الضبعة,Dabaa
سيدي عبد الرحمن,Sidi Abd Rahman
العلمين,Alamein
العميد,Ameed
الرويسات,Rowaysat
الحمام,Hammam
برج العرب ق,Burj Arab O
مطار برج العرب,Burj Arab Airport
العامرية,Amreyah
محرم بك,Moharam Beek
دمنهور,Damanhour
ايتاي البارود,Itay Barud
كفر الزيات,Kafr Zayat
بركة السبع,Berket Saba
قويسنا,Quesna
بنها,Banha
شبرا الخيمة,Shobra Khemah
الجيزة,Giza
بني سويف,Beni Suef
مغاغة,Maghagha
المنيا,Minya
ملوي,Mallawi
اسيوط,Asyut
سوهاج,Sohag
نجع حمادي,Nagaa Hammadi
قنا,Qena
الاقصر,Luxor
ادفو,Edfu
كوم امبو,Kom Ombo
كفر الدوار,Kafr Dawar
ابو حمص,Abo Homos
التوفيقية,Tawfiqiah
ابو مشهور,Abo Mashhour
عرب الرمل,Arab Raml
سندنهور,Sandanhour
طوخ,Toukh
قها,Qaha
قليوب,Qalyoub
ديروط,Dayrout
ابو تيج,Abo Tij
طما,Tima
طهطا,Tahta
المراغة,Maragha
جرجا,Girga
البلينا,Balyana
فرشوط,Farshut
دشنا,Dishna
قوص,Qus
ارمنت,Armant
اسنا,Esna
السباعية,Sibaiyyah
صدفا,Sidfa
دروة,Derwah
الواسطى,Wasta
ببا,Biba
الفشن,Fashn
بني مزار,Beni Mazar
ابو قرقاص,Abo Qurqas
دير مواس,Dayr Mawas
القوصية,Qusiyyah
منفلوط,Manfalut
ابو تشت,Abo Tesht
المنشأة,Monshaa
قفط,Qift
سلوا,Silwa Bahari
كلابشة,Kalabsha
دراو,Daraw
مطاي,Matay
سملوط,Samalut
تلا,Tala
البتانون,Batanun
شبين الكوم ج,Shebeen Kom N
شبين الكوم ق,Shebeen Kom O
شنوان,Shanawan
الحامول,Hamoul
منوف,Minuf
سمادون,Samadun
اشمون,Ashmun
الحلواصي,Hilwasi
الحلواصي البلد,Hilwasi B
شطانوف,Shatanof
القناطر ج,Qanatir N
قليوب البلد,Qalyoub B
العياط,Ayat
العسيرات,Usayrat
الشراونة,Sharawnah
المحاميد,Mahamid
كاجوج,Kajuj
بلانة,Ballana
اسوان,Aswan
الحوامدية,Hawamdeyya
البدرشين,Badrshein
المزغونة,Mazghounah
كفر عمار,Kafr Ammar
الميمون,Maymun
اشمنت,Ashmant
ناصر,Nasser
دماريس,Damaris
منقباد,Manqabad
المرازيق,Maraziq
الرقة,Raqqah
كوم أبو راضي,Kom Abo Rady
الورش,werash
الروس,Rous
الناصرية,Nasiriyah
سيلا,Sila
العدوة,Edwah
عامرية الفيوم,Amereyat Fayoum
ابا الوقف,Aba Wakf
الروضة,Rawda
برديس,Bardis
ابو شوشة,Abo Shousha
الرديسية,Radisia
الرمادي,Ramadi
بورسعيد,Port Said
القنطرة غرب,Qantara Gharb
الاسماعيلية,Ismailia
ابو صوير,Abo Swer
القصاصين,Qassasin
التل الكبير,Tal Kabeer
ابو حماد,Abo Hammad
الزقازيق,Zagazig
منية القمح,Menyet Qamh
المتانية,Matanyah
الفيوم,Faiyum
القطورى,Qotouri
الشيخ هارون,Sheikh Haroun
كيما,Kima
الصداقة,Sadaka
سدس,Suds
طحا البيشة,Taha Bishah
طنسا,Tansa
الزيتون ق,Zaytoun Q
بني حدير,Beni Hidayr
اطواب,Atwab
ميت القايد,Mit Qayed
البليدة,Blida
السد العالي,The High Dam
المنصورة,Mansoura
سندوب,Sandub
شاوة,Shawah
البقلية,Baqliyyah
الزريقي,Zurayqi
شبرا قبالة,Shobra Qubala
السنبلاوين,Senbellawein
طرانيس العرب,Taranis Arab
برقين,Barqin
هيكل باشا,Hikal Basha
ابو الشقوق,Abo Shuquq
بدوي,Badawy
كفر صقر,Kafr Saqr
البوها,Bouha
نزلة الخيال,Nazlet Khayal
ابو كبير,Abo Kibir
ابو ياسين,Abo Yassin
شرشيمة,Shirshimah
هيها,Hihya
العداوية,Adawyh
كفر المسلمية,Kafr Msalamya
هرية رزنة,Harayah Raznah
العصلوجي,Asluji
بردين,Bardein
اولاد سيف,Awlad Seif
بلبيس,Belbes
تل روزن,Tall Rozan
بير عمارة,Bir Imarah
انشاص,Inshas
سلمنت,Salamant
مشتول,Mashtul
منشأة الكرام,Monshaat Kiram
شبين القناطر,Shibin Qanatir
كفر شبين,Kafr Shebeen
طحانوب,Tahanub
كفر طحا,Kafr Taha
الزهوين,Zahawiyin
نوى,Nawa
كفر رمادة,Kafr Ramadah
الزاوية الحمراء,Zawya Hamraa
طلخا,Talkha
سمنود,Samannoud
المحلة الكبرى,Mahalla Kubra
محلة روح,Mahallat Rouh
جامعة الأزهر,Azhar University
ميت عساس,Mit Assas
شبلنجة,Shiblanjah
العزيزية,Aziziyyah
شربين,Shirbin
كفر سعد,Kafr Saad
راس الخليج,Ras Khaleej
دمياط,Damietta
راس العش,Ras Esh
كوم حلين,Kom Halin
محجر ابو حماد,Mahjar Abo Hammad
سرابيوم,Serapeum
ابو سلطان,Abo Sultan
فايد,Fayed
جنيفة,Jenefh
الشيخ زايد,Sheikh Zayed
الزنكلون,AZ Zanklun
الغابة,Ghaba
خلف الله,Khalafallah
الفدادنة,Fadadnah
البيروم,Bayrum
فاقوس,Faqus
جهينة,Geheinah
كفر الحاج عمر,Kafr Haj Omar
اكياد,Akyad
الدراكة,Drakh
اباظة,Abaza
العزازي,Azzazi
الكابيشة,Kabaysha
التينة,Tenh
الصالحية,Salheya
السويس,Suez
منية السباع,Menyet Sebaa
ميت يزيد,Mit Yazid
الجديدة,Jadidah
القراقرة,Qaraqrah
الصوة,Sawah
بسنديله,Basandilah
بلقاس,Belkas
بيلا,Biyala
ابشان,Ibshan
الكوم الطويل,Kom Taweel
سيدي غازي,Sidi Ghazy
المرابعين,Murabian
كفر الشيخ,Kafr Sheikh
سخا,Sakha
محلة موسى,Mahallat Mousa
نشرت,Nashart
قلين,Qleen
سجين,Segin
ابشواي,Ebshway
قطور,Qotur
الشين,Shin
قلين البلد,Qleen B
كفر سليم,Kafr Selim
كفر طبلوها,Kafr Tabluha
كفر البتانون,Kafr Batanun
طنبدي,Tanbadi
كفر السنابسة,Kafr Sanabisah
كمشوش,Kamshush
شما,Shama
رملة الأنجب,Ramlat Injib
جامع بدر,Badr Mosque
محلة سبك,Mahallat Subk
كفر صراوة,Kafr Sarawah
شلقان,Shalaqan
سنجرج,Sengerg
منشأة سلطان,Monshaat Sultan
العراقية,Iraqiyyah
عشما,Ashma
الشهداء,Shohada
دنشواى,Dinshaway
زاوية البقلى,Zawiyat Baqli
بشتامي,Beshtami
عمروس,Amrus
كوم مازن,Kom Mazin
طنوب,Tunub
عزبة الحطيم,Izbat Hutaym
مشلة,Mishlah
كفر مشلة	,Kafr Mishlah
قصر نصر الدين	,Qasr Nasr Din
الدلجمون,Daljamun
ورورة,Warwarah
دملو,Damallu
ميت الحوفيين,Mit Hufiyyin
ميت بره,Mit Barh
بقسا,Baqsa
شبرا بخوم,Shobra Bukhum
تفهنا العزب,Tafahna Azab
ميت الحارون,Mit Harun
سعد زغلول,Saad Zaghloul
اسماعيل صدقي,Ismail Sedky
منصور باشا,Mansour Basha
زفتى,Zefta
ميت غمر,Mit Ghamer
سيدي حنيش,Sidi Henash
جنينة القباري,Genenet Qbaary
المتراس,Metras
مواصلة المكس,Mowaslet Max
سيدي مرغب,Sidi Mergheb
التفرع,Tafaro
عبد القادر,Abd Qader
ايكنجي مريوط,Ekeingy Maryout
مريوط,Maryout
بهيج,Baheeg
الغربانيات,Gharbaniat
الجباسات,Gabbasat
تل العيسى,Tal Issa
غزال,Ghazal
سيدي شبيب,Sidi Shbeeb
الفردية,Fardyah
اطنوح,Atnoh
سيدي حنوش,Sidi Hanosh
جرولة,Grawlah
الحضرة,Hadrah
الظاهرية,Zahiriyyah
السوق,Souq
غبريال,Ghobrial
الرمل,Raml
النقراشي باشا,Nokrashy
سيدي بشر,Sidi Bishr
العصافرة,Asafra
المندرة,Mandara
المنتزة,Montaza
الاصلاح,Eslah
المعمورة,Mamurah
الكلية البحرية,Naval college
الطابية,Tabya
سماد ابو قير,Abo Qir Fertilizer
الطرح,Tarh
المعدية,Maadeyah
الابعدية,Abaadiah
بحيرة ادكو,Lago Idku
الدمياطي,Damietty
ادكو,Idku
مياح,Miah
منشية الأمل,Manshyt Amel
سنهور,Sanhur
الهوارية,Hwariah
الخزان,Khazan
الرحمانية,Rahmaniah
دسوق,Desouk
المدينة,Madinah
شباس,Shbas
البكاتوش,Bekatush
السنطة,Santa
تفهنا الاشراف,Tafhna Ashraf
قليشان,Qilishan
صفط العنب,Saft Inab
النقيدي,Naqidi
كوم حمادة,Kom Hamada
كفر بولين,Kafr Bulin
واقد,Waqid
منشاة ابو رية,Monshaat Abo Rayyah
الاتحاد,Ethaad
الطيرية البلد,Tairyyah B
ابو الخاوي,Abo Khawi
مديرية التحرير,Modiriyat Tahrir
البريجات,Birijat
كفر داود,Kafr Dawoud
الطرانة,Tarranah
الاخماس,Akhmas
الخطاطبة,Khatatbah
بني سلامة,Beni Salamah
وردان,Werdan
ابو غالب,Abo Ghaleb
الجزيرة الوسطانية,Gezira wastanih
القطا البلد,Qata B
القطا,Qata
برقاش,Birqash
نكلا,Niklah
ذات الكوم,Zat Kom
المناشي,Manashi
الجلاتمة,Gelatmah
برطس,Bartas
اوسيم,Ossim
الكوم الاحمر,Kom Ahmar
بشتيل البلد,Bashtil B
جامعة الزقازيق,Zagazig University
الطيرية,Tairyyah
25 يناير,25 Jan
برج العرب ج,Burj Arab N
كفر بني هلال,Kafr Beni Helal
نفرة,Nefrah
الفتح,Fath
جماجمون,Gmagmun
كفر الجزاير,Kafr Gazayer
عزبة جودة,Ezbet Godah
حوين,Hwin
الابراهيمية,Ibrahimiah
شبشير الحصة,Shebshir Hessah
الرجدية,Ragdiah
الحناوي,Henawi
المنشأة الصغرى,Monshaah Soghra
الحميدية,Hamidiyyah
رزقة أماي,Rezqet Amay
دقميرة,Duqmayrah
السلام,Salam
الكركات,Karykat
كوم الحجنة,Kom Hajnah
ميت الكرما,Mit Korma
كفر العرب,Kafr Arab
ميت خلف,Mit Khalaf
الراهبين,Rahbayn
محلة ابو على القنطرة,Mahallat Abo Ali Qantara
غزل المحلة,Ghazl Mahalla
منشية البكري,Manshyt Bakry
منية شنتا عياش,Minyat Shentena Ayash
صفط تراب,Saft Turab
بساتين كفر البطيخ,Basatin Kafr Battikh
كفر البطيخ,Kafr Battikh
التوفيقية البلد,Tawfiqiah B
كفر سعد البلد,Kafr Saad B
السوالم,Swalem
الصبرية,Sabreyah
السعادوه,Saadwa
كفر الدبوسي,Kafr Dabbusi
كفر الحطبه,Kafr Hatabah
الحاج خليل,Hag Khaleel
بطره,Batrah
ديسط,Daysat
الطويلة,Tawilah
شرنقاش,Shirinqash
ميت عنتر,Mit Antar
سماد طلخا,Semad Talkha
جمصة,Gamasa
ام الزين,Om Zein
النخاس,Naghas
الفردان,Ferdan
البلاح,Balah
ميت حبيش ق,Mit Hebeish Q
شبراقاص,Shobraqas
عبد الستار,Major Abd Satar
المنشأة الكبرى,Monshaah Kubra
السملاوية,Samlaweyah
نهطاي,Nahtay
كوم النور,Kom Nour
دنديط,Dandit
كفر الوزير,Kafr Wazir
ميت القرشي,Mit Qershi
ميت ابو العربي,Mit Abo Orabi
كفر الحلبي,Kafr Halaby
كفر الاشراف,Kafr Ashraf
شيبة النكارية,Shibat Nakariyah
كفر الشناوي,Kafr Shennawy
منشية البدراوي,Manshyt Badrawy
بهوت,Buhut
كفر الجرايدة,Kafr Garaydah
الشبانات,Shabanat
صفط الحنة,Saft Hinnah
البعالوة ,Baalwh
المحسمة,Mahsmh
محمد البغدادي,mohamed Baghdady
ابو جريش,Abo Gresh
الواصفية,Wasfih
نفيشة,Nafesha
معسكر الجلاء,Galaa Camp
سرس الليان,Sirs Layyanah
كفر شبرا زنجي,Kafr Shobra Zanji
جروان,Jarawan
الباجور,Bagour
سبك الضحاك,Subk Dahhak
ميت الواسطى,Mit Wusta
اسطنها,Istanha
كفر بطا,Kafr Bata
الكاب,Cap
الرسوة,Raswaa
عامر,Amer
الجناين,Ganayen
شلوفة,Shaloofh
كيلو 64,64 km
ابو حلب,Abo halab
كسفريت,kasfareet
فنارة,Fanara
قمة فايد,Kemt Fayed
فايد ج,Fayed N
السعيدية,Saidia
10 رمضان,10th of Ramadan
عين غصين,Ain Ghoseen
الضبعية,Ad Dabiyyah
العجرود ج,Agrod N
جبل عوبيد,Jabal Obaid
جبل الجفرة,Jabal Jufra
وادي السيل,Wadi Sail
الربيكي,Robaikey
بدر,Badr
الشروق,Shorouk
درب الحاج,Darb Haj
العبور,Obour
عدلي منصور,Adly Mansour
الدنابيق,Danabiq
سلامون,Salamoun
شها,Shuha
محلة دمنة,Mahallat Damanah
ميت ضافر,Mit Dafer
الخشاشنة,Khashashnah
دكرنس,Dikirnis
ميت شرف,Mit Sharaf
اشمون الرمان,Ashmoun Romman
ميت الخولي,Mit Khouly
ميت حديد,Mit Hadid
ميت عاصم,Mit Asem
كفر علام,Kafr Allam
الرياض,Riyad
الكردي,kurdi
ميت سلسيل,Mit Salsil
ميت مرجا سلسيل,Mit Marga Selsil
الجمالية,Jamaliyah
ميت خضير,Mit Khodeir
المنزلة,Manzalah
دار السلام,Dar Salam
عصافرة المنزلة,Asafrah Manzalah
المطرية,Matariyah
مصنع الغزل,Textile factory
بني أحمد,Beni Ahmed
منسافيس,Mansafis
ابيوها,Abyuha
اتليدم,Itlidim
المحرص,Mahras
معصرة ملوي,Massarat Malawi
تل العمارنة,Amarna
الجرف,Jarf
صنبو,Sanabo
فزاره,Fazarah
بني قره,Beni Qorah
بني شقير,Beni Shakeir
الحواتكة,Hawatkah
نجع سبع,Nagaa Sabee
بني حسين,Beni Hussein
قمن العروس,Qamn Arous
شريف باشا,Shreef Basha
الفنت,Fant
ملاطية,Malatya
قلوصنا,Qulusna
تزمنت,Tezment
اولاد الياس,Awlad Ilyas
شطب,Shatb
المطيعة,Mutiah
باقور,Baqur
النخيلة,Nekhaylah
مشطا,Mishta
شطورة,Shatourah
بنجا,Banja
الصوامعة,Sawamaah
السايح,Sayh
شندويل البلد,Shandawil B
جزيرة شندويل,Jazirat Shandawil
بلصفورة,Balasfurah
العيساوية,Isawiyyah
الأحايوه,Ahaywah
البندار,Bindar
مزاتا غرب,Mzata west
الساحل ق,Sahel Q
بني حميل,Beni Hamil
سمهود,Samhud
رفاعة,Rufaa
بهجورة,Bahjurah
خزام,Khozam
العيايشة,Ayshah
الشنهورية,Shanhoria
الشيخ عامر,Sheikh Amer
الكراتية,Karateyah
البراهمة,Barahmah
ابنود,Abnoud
الاشراف,Ashraf
الاشراف ق,Ashraf Qibliyyah
الجزيرية,Jiziriyyah
المخادمة,Makhadmah
القناوية,Qinawiyyah
اولاد عمرو,Awlad Amr
السمطا,Samta Q
المراشدة,Marashdah
فاو,Faw
الياسينية,Baseineyah
الرحمانية ق,Rahmaneyah Q
السلمية ق,Salmiyyah Q
الكرنك,Karnak
الزينية,Zayniyyah
الرضوانية,Radwania
الوحدة,Wehdaa
الطود,Toud
نجع الجسور,Nagaa Gossor
العديسات,Idisat
الشغب,Shaghab
المعلة,Maelah
نجع ابو سعيد,Nagaa Abo Said
المطاعنة,Mataenah
الدير,Deir
الكلابية,Kelabeyah
جزيرة راجح,Gazirat Rageh
الخوي ج,Khoy N
الفوسفات ج,Phosphate N
الكلح,Kilh
الدومارية,Dawamaria
العطواني,Atwani
البغدادي,Boghdady
الفوزة,Fuzah
الطوناب,Tunab
السراج,Siraj
جعفر الصادق,Gaafar Sadik
السيد سعيد,sayid Said
جبل السلسلة,Gebel Silsila
الرغامة,Raghama
الشطب البلد,Shatb B
السلام النوبية,Salam Aneibah
الرتاج,Retaj
الجعافرة,Jaafrah
الاعقاب,Aaqab
الاعقاب ق,Aaqab Q
الخطارة,Khttarah
الشديدة,Shadedh
ابو الريش ق,Abo Resh Q
بشتيل المحطة,Bashtil
